USER Management,FDA-1,10000,Epic,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Highest,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,31-03-2026 10:06,01-04-2026 14:27,01-04-2026 10:32,RELEASE 1,04-04-2026 00:00,0,,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17c5b19b,,,,,ghx-label-4,,To Do,,,,dark_blue,,,,,0|i0000e:,,,FDA Sprint 1,31-03-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 14:27
USER REGISTRATION,FDA-8,10039,Story,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Highest,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 10:57,01-04-2026 13:56,01-04-2026 11:24,,04-04-2026 00:00,0,,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75d9ec9,,,,,,,,,,,,,,,,0|i0000m:,,,FDA Sprint 1,01-04-2026 00:00,,,,,,,,,,,10000,FDA-1,USER Management,To Do,01-04-2026 13:56
Write Test Cases For User Registration,FDA-9,10040,Task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Highest,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:02,01-04-2026 12:30,01-04-2026 14:25,RELEASE 1,04-04-2026 00:00,0,,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@18101d1,,,,,,,,,,,,,,,,0|i0000u:,,,FDA Sprint 1,02-04-2026 00:00,,,,,,,,,,,10000,FDA-1,USER Management,To Do,01-04-2026 11:02
Create Test Cases for First name Field,FDA-10,10042,Sub-task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Medium,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:24,01-04-2026 12:33,01-04-2026 12:25,,,0,"* Accepts alphabets and space only.
* Minimum 3 characters, maximum 50 characters.
* Numbers and special characters not allowed.
* Cannot be blank.
* Inline error for invalid input.",Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78013515,,,,,,,,,,,,,,,,0|i00016:,,,FDA Sprint 1,,,,,,,,,,,,10040,FDA-9,Write Test Cases For User Registration,To Do,01-04-2026 12:29
Create Test cases for the mobile number Field,FDA-12,10044,Sub-task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Medium,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:32,01-04-2026 12:33,01-04-2026 11:34,,,0,"* Accepts 10-digit numeric values only.
* Cannot contain alphabets/special characters.
* Cannot be blank.
* OTP sent after entering number.

h4. OTP Field

* 6-digit numeric.
* Valid for 5 minutes.
* Incorrect OTP → “Invalid OTP.”",Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1065b37f,,,,,,,,,,,,,,,,0|i0001i:,,,FDA Sprint 1,,,,,,,,,,,,10040,FDA-9,Write Test Cases For User Registration,To Do,01-04-2026 11:32
Create Test Cases for the Email Address field,FDA-11,10043,Sub-task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Medium,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:28,01-04-2026 12:33,01-04-2026 11:30,,,0,"* Must be valid format (example: [user@mail.com|mailto:user@mail.com]).
* Minimum 5 characters, maximum 50 characters.
* Cannot be blank.
* Duplicate email → “Email already registered.”",Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78d273ac,,,,,,,,,,,,,,,,0|i0001m:,,,FDA Sprint 1,,,,,,,,,,,,10040,FDA-9,Write Test Cases For User Registration,To Do,01-04-2026 12:29
Create a Test cases for Password field,FDA-13,10045,Sub-task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Medium,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:35,01-04-2026 12:33,01-04-2026 11:37,,,0,"* Minimum 8 characters, maximum 20.
* Must include:
** 1 uppercase
** 1 lowercase
** 1 number
** 1 special character
* Cannot be blank.
* Show password strength: Weak / Medium / Strong.
* Accept only when Strong.",Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b2b5748,,,,,,,,,,,,,,,,0|i0001u:,,,FDA Sprint 1,,,,,,,,,,,,10040,FDA-9,Write Test Cases For User Registration,To Do,01-04-2026 12:29
Create a Test Cases for Confirm Password Field,FDA-14,10046,Sub-task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Medium,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:36,01-04-2026 12:33,01-04-2026 11:36,,,0,"* Must match password field.
* Cannot be blank.
* Error → “Passwords do not match.”",Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@70edde03,,,,,,,,,,,,,,,,0|i0001y:,,,FDA Sprint 1,,,,,,,,,,,,10040,FDA-9,Write Test Cases For User Registration,To Do,01-04-2026 11:36
Create a Test Cases for Terms & Conditions Checkbox,FDA-15,10047,Sub-task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Medium,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:38,01-04-2026 12:33,01-04-2026 11:39,,,0,"* Must be checked to enable Sign Up.
* Contains clickable link.",Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d4a95e8,,,,,,,,,,,,,,,,0|i00026:,,,FDA Sprint 1,,,,,,,,,,,,10040,FDA-9,Write Test Cases For User Registration,To Do,01-04-2026 11:38
Create Test cases for Sign Up Button,FDA-16,10048,Sub-task,To Do,FDA,FOOD DELIVERY APPLICATION,software,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,Medium,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,01-04-2026 11:40,01-04-2026 12:33,01-04-2026 11:40,,,0,"* Enabled only when all inputs valid and OTP verified.
* On click:
** Valid → Account created, User ID generated
** Invalid → Inline errors",Chirag Malik,712020:dea5362e-d32b-453d-b8eb-43caed01a964,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6450b502,,,,,,,,,,,,,,,,0|i0002e:,,,FDA Sprint 1,,,,,,,,,,,,10040,FDA-9,Write Test Cases For User Registration,To Do,01-04-2026 11:40
